objectid,subject,filename,CO_LOC_RES,NTEEC,NAICS,title,format,LEGALNAME,ALTNAME,AKADBA,WEBURL,INCOMECD15,INCOME15,REVENUE15,date,INSTNAME,longitude,latitude,GSTREET,GCITY,GSTATE,GZIP5,
8404200072,ART,demo_001.jpg,,,,OLD CITY JEWISH ARTS CENTER,image/jpeg,OLD CITY JEWISH ARTS CENTER,,,HTTP://WWW.JEWISHARTCENTER.COM/CGI-SYS/SUSPENDEDPAGE.CGI,,,,,,-75.14503,39.95267,119 N 3RD ST,PHILADELPHIA,PA,19106,
8404200167,ZAW,demo_001.jpg,,,,INSECTARIUM,image/jpeg,INSECTARIUM,,,HTTP://INSECTARIUMINSTITUTE.COM/,,,,,,-75.02717,40.04221,8046 FRANKFORD AVE,PHILADELPHIA,PA,19136,
8404200194,HST,demo_001.jpg,ESTATE,C30,813312,GLEN FOERD ON THE DELAWARE,image/jpeg,GLEN FOERD CONSERVATION CORP,,,HTTP://WWW.GLENFOERD.ORG,4,318500,311882,1986,,-74.98141,40.05178,5001 GRANT AVE,PHILADELPHIA,PA,19114,
8404200328,BOT,demo_001.jpg,,C42,813410,HANSBERRY GARDEN & NATURE CENTER,image/jpeg,HANSBERRY GARDEN & NATURE CENTER INC,,,HTTP://HANSBERRYGARDEN.COM,0,0,0,2004,,-75.1695,40.02628,5150 WAYNE AVENUE,PHILADELPHIA,PA,19144,
8404200409,BOT,demo_001.jpg,,C41,712130,AWBURY ARBORETUM,image/jpeg,AWBURY ARBORETUM ASSOCIATION INC,,,HTTP://AWBURY.ORG/,4,367246,367246,1985,,-75.16904,40.04854,1 AWBURY RD,PHILADELPHIA,PA,19138,
8404200453,ART,demo_001.jpg,,A51,712110,PHILADELPHIA MUSEUM OF ART,image/jpeg,PHILADELPHIA MUSEUM OF ART,,,HTTP://WWW.PHILAMUSEUM.ORG,9,148647035,82564750,1943,,-75.1794,39.96472,2600 BENJAMIN FRANKLIN PKWY,PHILADELPHIA,PA,19101,
8404200456,SCI,demo_001.jpg,PLANETARIUM,A25,712110,FRANKLIN INSTITUTE,image/jpeg,FRANKLIN INSTITUTE,INCL: FELS PLANETARIUM,,HTTPS://WWW.FI.EDU/,8,46199859,35616050,1928,,-75.1724,39.95775,222 N 20TH ST,PHILADELPHIA,PA,19103,
8404200563,CMU,demo_001.jpg,,A52,712110,PLEASE TOUCH MUSEUM,image/jpeg,PLEASE TOUCH MUSEUM,,,HTTP://WWW.PLEASETOUCHMUSEUM.ORG,8,21807887,9514220,1979,,-75.21214,39.97953,4231 AVE OF THE REPUBLIC,PHILADELPHIA,PA,19131,
8404200571,HST,demo_001.jpg,,A54,712110,WYCK HOUSE,image/jpeg,WYCK ASSOCIATION,,,,5,657624,371206,1980,,-75.17869,40.03972,6026 GERMANTOWN AVE,PHILADELPHIA,PA,19144,
8404200647,HST,demo_001.jpg,,A54,712110,NATIONAL CONSTITUTION CENTER,image/jpeg,NATIONAL CONSTITUTION CENTER,,,HTTP://CONSTITUTIONCENTER.ORG/,8,24718196,22443988,1987,,-75.14882,39.95271,525 ARCH ST,PHILADELPHIA,PA,19106,
8404200749,HST,demo_001.jpg,,A54,712110,INSTITUTE FOR BIBLICAL AND SCIENTIFIC STUDIES,image/jpeg,THE INSTITUTE FOR BIBLICAL AND SCIENTIFIC STUDIES,,,,3,45138,22057,1995,,-75.12335,39.97821,2424 E HAGERT ST,PHILADELPHIA,PA,19125,
8404200963,HST,demo_001.jpg,,A54,712110,ATWATER KENT MUSEUM,image/jpeg,ATWATER KENT MUSEUM,,,HTTP://WWW.PHILADELPHIAHISTORY.ORG,0,,,1982,,-75.15203,39.95035,15 S 7TH ST,PHILADELPHIA,PA,19106,
8404201548,ART,demo_001.jpg,,A50,712110,ROMANIAN FOLK ART MUSEUM,image/jpeg,ROMANIAN FOLK ART MUSEUM,,,HTTP://ROMANIANCULTURE.US,0,0,0,1984,,-75.16842,39.94726,1606 SPRUCE STREET,PHILADELPHIA,PA,19103,
8404201650,HST,demo_001.jpg,,A54,712110,MUSEUM OF NURSING HISTORY,image/jpeg,MUSEUM OF NURSING HISTORY,MUSEUM OF NURSING HISTORY,,HTTP://WWW.NURSINGHISTORY.ORG,0,0,0,2014,,-75.15246,40.03947,1900 W OLNEY AVE,PHILADELPHIA,PA,19141,
8404201693,HST,demo_001.jpg,,,,WELLS FARGO HISTORY MUSEUM,image/jpeg,WELLS FARGO HISTORY MUSEUM,,,,,,,,,-75.1638,39.95065,123 SOUTH BROAD STREET,PHILADELPHIA,PA,10190,
8409401154,HST,demo_001.jpg,,A54,712120,MUSEUM OF THE AMERICAN REVOLUTION,image/jpeg,NATIONAL CENTER FOR THE AMERICAN REVOLUTION,THE AMERICAN REVOLUTION CENTER,,HTTP://WWW.AMREVMUSEUM.ORG,,,,2003,,-75.14361,39.94852,123 CHESTNUT ST SUITE 401,PHILADELPHIA,PA,19106,
8409500146,ZAW,demo_001.jpg,,D50,712130,PHILADELPHIA ZOO,image/jpeg,PHILADELPHIA ZOO,,,HTTP://WWW.PHILADELPHIAZOO.ORG,9,67543924,48422307,1942,,-75.19549,39.97509,3400 WEST GIRARD AVENUE,PHILADELPHIA,PA,19104,
8409500804,SCI,demo_001.jpg,,,,PLANETARIUM,image/jpeg,PLANETARIUM,,,HTTP://WWW.PHILLYSEAPORT.ORG,,,,,,-75.14765,39.94998,211 S COLUMBUS BLVD & WALNUT ST,PHILADELPHIA,PA,19106,
8409501097,NAT,demo_001.jpg,,B43,611310,ACADEMY OF NATURAL SCIENCES OF DREXEL UNIVERSITY,image/jpeg,DREXEL UNIVERSITY,,,HTTP://WWW.ANSP.ORG/,9,1014902481,938599729,1927,DREXEL UNIVERSITY,-75.18805,39.95789,3201 ARCH ST STE 400,PHILADELPHIA,PA,19104,
